yolo-obj
Learning Rate: 0.001, Momentum: 0.9, Decay: 0.0005
Loaded: 0.224560 seconds
Region 82 Avg IOU: 0.829798, Class: 0.998570, Obj: 0.658816, No Obj: 0.005278, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 94 Avg IOU: 0.825269, Class: 0.952654, Obj: 0.002165, No Obj: 0.000490, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000062, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.743888, Class: 0.999943, Obj: 0.911137, No Obj: 0.003472, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.815554, Class: 0.972184, Obj: 0.763295, No Obj: 0.001174, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000019, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000102, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.808932, Class: 0.998310, Obj: 0.911104, No Obj: 0.001293, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.682674, Class: 0.996039, Obj: 0.238714, No Obj: 0.000223, .5R: 0.666667, .75R: 0.666667,  count: 3
Region 82 Avg IOU: 0.882075, Class: 0.999962, Obj: 0.993501, No Obj: 0.001903, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.619154, Class: 0.991652, Obj: 0.370624, No Obj: 0.001172, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.731971, Class: 0.993050, Obj: 0.003695, No Obj: 0.000147, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 82 Avg IOU: 0.714258, Class: 0.999471, Obj: 0.842100, No Obj: 0.004000, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000314, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.152399, Class: 0.994242, Obj: 0.030574, No Obj: 0.000073, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000478, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.682572, Class: 0.903845, Obj: 0.000218, No Obj: 0.000534, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.712858, Class: 0.955810, Obj: 0.001276, No Obj: 0.000209, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.855422, Class: 0.998994, Obj: 0.774008, No Obj: 0.005286, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000602, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.614330, Class: 0.993445, Obj: 0.005227, No Obj: 0.000083, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000039, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000043, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.350746, Class: 0.997561, Obj: 0.105150, No Obj: 0.000263, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000042, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000104, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.549717, Class: 0.992669, Obj: 0.310176, No Obj: 0.000460, .5R: 0.750000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001809, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.756404, Class: 0.998988, Obj: 0.312109, No Obj: 0.001569, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000106, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000121, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.617428, Class: 0.997573, Obj: 0.027461, No Obj: 0.001022, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.537802, Class: 0.992485, Obj: 0.017717, No Obj: 0.000455, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.731419, Class: 0.999581, Obj: 0.908215, No Obj: 0.002976, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.844441, Class: 0.992190, Obj: 0.333955, No Obj: 0.000568, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.631173, Class: 0.995246, Obj: 0.065908, No Obj: 0.000401, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.580186, Class: 0.996699, Obj: 0.335466, No Obj: 0.002970, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.712055, Class: 0.565224, Obj: 0.000973, No Obj: 0.000569, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000053, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000008, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.723069, Class: 0.996840, Obj: 0.522415, No Obj: 0.000413, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.528907, Class: 0.998496, Obj: 0.180404, No Obj: 0.000276, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.794341, Class: 0.998791, Obj: 0.394274, No Obj: 0.002936, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.671044, Class: 0.990942, Obj: 0.228576, No Obj: 0.001177, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.578790, Class: 0.993502, Obj: 0.004383, No Obj: 0.000098, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000157, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.494168, Class: 0.981118, Obj: 0.337493, No Obj: 0.000890, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000077, .5R: -nan, .75R: -nan,  count: 0
1501: 0.452584, 0.452584 avg, 0.001000 rate, 5.669321 seconds, 96064 images
Loaded: 0.000052 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.002254, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.822249, Class: 0.998539, Obj: 0.858018, No Obj: 0.002468, .5R: 1.000000, .75R: 1.000000,  count: 4
Region 106 Avg IOU: 0.546682, Class: 0.994202, Obj: 0.003570, No Obj: 0.000145, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.866054, Class: 0.999905, Obj: 0.404546, No Obj: 0.002613, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.603740, Class: 0.756141, Obj: 0.006326, No Obj: 0.000059, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.406747, Class: 0.999427, Obj: 0.063826, No Obj: 0.000136, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000524, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000098, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.761601, Class: 0.998420, Obj: 0.001948, No Obj: 0.000158, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.746091, Class: 0.980013, Obj: 0.425474, No Obj: 0.003995, .5R: 1.000000, .75R: 0.333333,  count: 3
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000404, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.665194, Class: 0.991775, Obj: 0.212031, No Obj: 0.000272, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.678367, Class: 0.997707, Obj: 0.006590, No Obj: 0.000248, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000134, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000032, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000635, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.628458, Class: 0.909671, Obj: 0.005425, No Obj: 0.000828, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.494073, Class: 0.756389, Obj: 0.001239, No Obj: 0.000118, .5R: 0.500000, .75R: 0.000000,  count: 4
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000047, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000073, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.695703, Class: 0.990554, Obj: 0.008960, No Obj: 0.000253, .5R: 1.000000, .75R: 0.000000,  count: 1
