yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.105496 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054215, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019011, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.007002, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053096, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.175559, Class: 0.452410, Obj: 0.009243, No Obj: 0.018917, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.188645, Class: 0.419507, Obj: 0.002722, No Obj: 0.007438, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.057232, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.364204, Class: 0.443026, Obj: 0.057751, No Obj: 0.020047, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.010068, Class: 0.778493, Obj: 0.000246, No Obj: 0.007847, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053950, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019908, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.007415, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.055255, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.392885, Class: 0.822567, Obj: 0.013515, No Obj: 0.019293, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.259838, Class: 0.429024, Obj: 0.011011, No Obj: 0.007430, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053268, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.018915, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.007260, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.055041, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.194819, Class: 0.306051, Obj: 0.001631, No Obj: 0.020906, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.017686, Class: 0.754873, Obj: 0.005122, No Obj: 0.007486, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052005, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.220922, Class: 0.628187, Obj: 0.041233, No Obj: 0.019047, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.052484, Class: 0.727360, Obj: 0.004359, No Obj: 0.006900, .5R: 0.000000, .75R: 0.000000,  count: 2
101: 5.170554, 5.170554 avg, 0.000010 rate, 2.965004 seconds, 3232 images
Loaded: 0.000062 seconds
Region 82 Avg IOU: 0.614260, Class: 0.864857, Obj: 0.090195, No Obj: 0.052351, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.308145, Class: 0.635022, Obj: 0.015530, No Obj: 0.018268, .5R: 0.333333, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.013367, Class: 0.822615, Obj: 0.004522, No Obj: 0.006839, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.054239, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.284168, Class: 0.656608, Obj: 0.001497, No Obj: 0.019144, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.030351, Class: 0.591671, Obj: 0.002064, No Obj: 0.007093, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053384, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.363059, Class: 0.276270, Obj: 0.009833, No Obj: 0.018603, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.196497, Class: 0.386164, Obj: 0.007386, No Obj: 0.006905, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053226, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.272705, Class: 0.556936, Obj: 0.043404, No Obj: 0.018933, .5R: 0.000000, .75R: 0.000000,  count: 4
Region 106 Avg IOU: 0.000000, Class: 0.582352, Obj: 0.006937, No Obj: 0.007197, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.124964, Class: 0.765881, Obj: 0.022289, No Obj: 0.055051, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019317, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.409437, Class: 0.268060, Obj: 0.014708, No Obj: 0.007017, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: 0.226385, Class: 0.170880, Obj: 0.017883, No Obj: 0.054004, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019238, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.314094, Class: 0.241649, Obj: 0.004285, No Obj: 0.006966, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.581494, Class: 0.799557, Obj: 0.015285, No Obj: 0.052687, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.316391, Class: 0.515756, Obj: 0.019978, No Obj: 0.018852, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.080879, Class: 0.707619, Obj: 0.005386, No Obj: 0.006942, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053765, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.268831, Class: 0.893574, Obj: 0.002446, No Obj: 0.019280, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.007178, .5R: -nan, .75R: -nan,  count: 0
102: 4.456280, 5.099127 avg, 0.000011 rate, 2.669369 seconds, 3264 images
Loaded: 0.000093 seconds
Region 82 Avg IOU: 0.189963, Class: 0.557245, Obj: 0.021185, No Obj: 0.052320, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.232506, Class: 0.476304, Obj: 0.001580, No Obj: 0.019107, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.117399, Class: 0.373014, Obj: 0.013010, No Obj: 0.007128, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.052682, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.093263, Class: 0.430115, Obj: 0.011236, No Obj: 0.018735, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.007076, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.404181, Class: 0.614660, Obj: 0.067341, No Obj: 0.053853, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019577, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.178998, Class: 0.683483, Obj: 0.000813, No Obj: 0.007065, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.055103, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.329430, Class: 0.827540, Obj: 0.004869, No Obj: 0.019527, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.038309, Class: 0.048529, Obj: 0.000026, No Obj: 0.007101, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.203379, Class: 0.586179, Obj: 0.072912, No Obj: 0.052188, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.171823, Class: 0.372650, Obj: 0.011266, No Obj: 0.019260, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.206345, Class: 0.144809, Obj: 0.003185, No Obj: 0.006763, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053817, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.498397, Class: 0.485267, Obj: 0.006630, No Obj: 0.019059, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.309318, Class: 0.539212, Obj: 0.003355, No Obj: 0.007197, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.365194, Class: 0.584284, Obj: 0.026014, No Obj: 0.055372, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019494, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.355925, Class: 0.154381, Obj: 0.004102, No Obj: 0.007088, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.089717, Class: 0.829163, Obj: 0.062436, No Obj: 0.053116, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.116146, Class: 0.228776, Obj: 0.009217, No Obj: 0.018353, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006832, .5R: -nan, .75R: -nan,  count: 0
103: 4.030452, 4.992260 avg, 0.000011 rate, 2.672197 seconds, 3296 images
Loaded: 0.000095 seconds
Region 82 Avg IOU: 0.281205, Class: 0.476013, Obj: 0.010830, No Obj: 0.053844, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.098869, Class: 0.898255, Obj: 0.001204, No Obj: 0.018533, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006832, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: 0.089207, Class: 0.566457, Obj: 0.030658, No Obj: 0.055324, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.019882, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.177862, Class: 0.552222, Obj: 0.000444, No Obj: 0.007788, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053423, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.469796, Class: 0.590007, Obj: 0.019597, No Obj: 0.018434, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.343339, Class: 0.647604, Obj: 0.000306, No Obj: 0.006769, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053271, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.187525, Class: 0.377374, Obj: 0.029748, No Obj: 0.018275, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.006851, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.053152, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.029769, Class: 0.682368, Obj: 0.018957, No Obj: 0.019244, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.178369, Class: 0.289012, Obj: 0.001227, No Obj: 0.007143, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.754960, Class: 0.751983, Obj: 0.008788, No Obj: 0.051564, .5R: 1.000000, .75R: 1.000000,  count: 1
