yolo-obj
Learning Rate: 0.1, Momentum: 0.9, Decay: 0.0005
Loaded: 0.122297 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001120, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000323, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000113, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000996, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000286, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000065, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000280, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.659634, Class: 0.139458, Obj: 0.000069, No Obj: 0.000469, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.540142, Class: 0.878829, Obj: 0.348263, No Obj: 0.000204, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000637, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000394, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.300689, Class: 0.477226, Obj: 0.011557, No Obj: 0.000148, .5R: 0.000000, .75R: 0.000000,  count: 3
Region 82 Avg IOU: 0.748093, Class: 0.957533, Obj: 0.217806, No Obj: 0.002709, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: 0.559548, Class: 0.841583, Obj: 0.104146, No Obj: 0.000565, .5R: 1.000000, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.527267, Class: 0.969381, Obj: 0.000470, No Obj: 0.000109, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000918, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.607545, Class: 0.570912, Obj: 0.011700, No Obj: 0.000440, .5R: 0.666667, .75R: 0.000000,  count: 3
Region 106 Avg IOU: 0.343341, Class: 0.396761, Obj: 0.001543, No Obj: 0.000116, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.110091, Class: 0.250549, Obj: 0.006641, No Obj: 0.000957, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.400447, Class: 0.884777, Obj: 0.269405, No Obj: 0.001194, .5R: 0.000000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000060, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000481, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000349, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.719255, Class: 0.772155, Obj: 0.001614, No Obj: 0.000069, .5R: 1.000000, .75R: 0.000000,  count: 1
601: 0.744915, 0.744915 avg, 0.013047 rate, 3.006642 seconds, 19232 images
Loaded: 0.000048 seconds
Region 82 Avg IOU: 0.369123, Class: 0.765653, Obj: 0.026093, No Obj: 0.001876, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 94 Avg IOU: 0.665399, Class: 0.972791, Obj: 0.296825, No Obj: 0.000776, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 106 Avg IOU: 0.683988, Class: 0.881544, Obj: 0.213012, No Obj: 0.000140, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000306, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000312, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.534839, Class: 0.724110, Obj: 0.096731, No Obj: 0.000059, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001109, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000399, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.360999, Class: 0.178179, Obj: 0.000026, No Obj: 0.000180, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.802096, Class: 0.894535, Obj: 0.182180, No Obj: 0.002808, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000781, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.712100, Class: 0.738687, Obj: 0.015279, No Obj: 0.000125, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.617677, Class: 0.909742, Obj: 0.137216, No Obj: 0.001886, .5R: 1.000000, .75R: 0.000000,  count: 2
Region 94 Avg IOU: 0.585478, Class: 0.961991, Obj: 0.000926, No Obj: 0.000298, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: 0.248606, Class: 0.648876, Obj: 0.026664, No Obj: 0.000129, .5R: 0.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.754946, Class: 0.970940, Obj: 0.107062, No Obj: 0.002065, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.639937, Class: 0.991739, Obj: 0.000987, No Obj: 0.000326, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000122, .5R: -nan, .75R: -nan,  count: 0
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.001577, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.567117, Class: 0.772123, Obj: 0.003236, No Obj: 0.000336, .5R: 0.500000, .75R: 0.000000,  count: 2
Region 106 Avg IOU: 0.680260, Class: 0.751367, Obj: 0.040492, No Obj: 0.000127, .5R: 1.000000, .75R: 0.000000,  count: 1
Region 82 Avg IOU: 0.668988, Class: 0.848658, Obj: 0.168104, No Obj: 0.002564, .5R: 1.000000, .75R: 0.500000,  count: 2
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000423, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000097, .5R: -nan, .75R: -nan,  count: 0
602: 0.476447, 0.718068 avg, 0.013134 rate, 2.671184 seconds, 19264 images
Loaded: 0.000073 seconds
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000785, .5R: -nan, .75R: -nan,  count: 0
